home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-opposition-shots,home-shots-on-target,home-opposition-shots-on-target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-opposition-shots,away-shots-on-target,away-opposition-shots-on-target,result,odds-home,odds-draw,odds-away
3,2,5,11,13,106,137,28,48,5,3,2,17,11,144,132,41,40,2,2.5,3.4,3.0
4,3,3,16,11,174,85,60,34,7,1,2,20,6,143,88,53,22,1,1.8,3.75,5.0
7,3,0,19,7,158,106,58,27,4,2,4,13,15,141,110,47,40,1,1.4,5.0,9.0
4,3,3,16,11,136,129,52,33,1,4,5,11,17,90,173,29,50,0,1.53,4.33,7.0
2,6,2,9,15,106,147,35,52,6,3,1,22,11,196,115,70,38,2,7.5,4.5,1.5
1,4,5,10,16,87,170,24,51,3,2,5,12,13,118,137,32,50,0,2.45,3.3,3.2
4,2,4,13,14,143,130,43,46,2,5,3,8,17,108,147,36,50,0,1.5,4.5,7.5
7,2,1,24,10,196,108,66,34,3,4,3,15,12,138,126,53,33,1,1.5,4.75,7.0
5,3,2,12,8,131,110,37,29,7,3,0,18,5,141,105,57,27,1,7.0,4.33,1.53
2,2,6,13,18,141,160,36,59,2,4,4,9,18,116,184,33,59,1,2.05,3.5,4.0
3,2,5,12,15,131,133,38,32,5,2,3,15,9,178,76,62,27,1,4.0,3.6,2.0
4,1,5,11,16,136,116,43,47,3,2,5,13,15,110,136,38,38,0,1.6,4.2,6.0
1,3,6,4,17,98,161,28,53,1,2,7,10,19,124,147,36,47,1,2.4,3.4,3.2
6,2,2,17,10,139,144,43,39,3,4,3,11,9,106,129,35,41,1,2.35,3.4,3.25
6,1,3,16,7,139,98,47,26,6,2,2,18,13,146,109,44,43,2,2.8,3.4,2.7
4,2,4,14,12,184,83,65,29,6,2,2,12,7,115,126,33,34,1,1.44,4.75,8.0
2,3,5,9,20,114,181,30,59,5,1,4,16,9,143,96,47,26,1,5.5,3.75,1.73
7,2,1,18,6,161,98,63,26,1,4,5,8,14,89,151,23,47,1,1.18,8.0,18.0
2,3,5,10,13,116,133,39,35,4,1,5,13,15,136,127,38,33,0,2.6,3.25,3.0
0,2,8,6,18,119,147,35,49,8,1,1,24,9,199,111,65,34,2,7.0,4.75,1.5
2,5,3,8,17,101,145,31,46,6,2,2,17,10,141,144,43,36,0,2.95,3.4,2.55
2,3,5,11,13,114,142,31,51,2,3,5,6,15,108,162,33,54,1,2.15,3.4,3.8
7,2,1,17,9,133,109,41,42,4,3,3,12,11,147,124,40,40,1,1.8,3.8,4.75
3,4,3,12,11,112,133,35,44,4,2,4,11,15,143,122,45,47,2,2.5,3.4,3.0
3,4,3,13,10,130,135,49,33,3,1,6,13,16,131,167,37,58,1,1.45,4.5,8.5
2,3,5,6,13,108,158,34,51,7,2,1,18,8,136,115,44,47,0,6.25,4.0,1.62
1,4,5,6,12,87,143,18,44,3,3,4,13,13,120,128,37,45,2,3.1,3.3,2.5
8,1,1,21,7,188,108,63,30,1,4,5,9,14,110,133,36,37,1,1.29,6.0,12.0
3,1,6,13,17,138,161,39,54,2,3,5,8,13,107,139,30,51,1,2.45,3.3,3.2
4,1,5,14,9,139,93,42,26,4,3,3,15,10,132,128,49,29,1,2.45,3.5,3.0
5,1,4,12,15,147,121,45,44,3,3,4,10,16,111,176,30,57,1,1.5,4.5,7.5
6,3,1,17,9,147,149,47,37,0,2,8,6,17,119,140,35,47,1,1.75,3.9,5.0
4,2,4,11,13,142,124,41,41,5,1,4,17,12,185,87,63,29,0,2.8,3.5,2.6
